,index,0
1189,comtes,73
1190,vicomtes,9
1191,premiers,737
1192,apparaissent,119
1193,principat,27
1194,localisation,37
1195,garde,288
1196,ducaux,6
1197,perception,55
1198,revenus,128
1199,perdu,141
1200,fonction,644
1201,mauvaise,93
1202,complot,21
1203,guerlenc,1
1204,inverse,119
1205,imposer,94
1206,charge,258
1207,toujours,814
1208,subdivisions,11
1209,certaines,733
1210,avranchin,3
1211,titulaire,82
1212,prenaient,15
1213,envoyaient,3
1214,cour,385
1215,ducale,18
1216,vicomtale,1
1217,dynasties,8
1218,pourtant,254
1219,vicomte,26
1220,cotentin,10
1221,elles,1064
1222,baronnies,3
1223,sherifs,1
1224,maintien,91
1225,corollaire,8
1226,rois,168
1227,ducs,68
1228,baillies,1
1229,bailli,15
1230,non,1312
1231,semblables,29
1232,bailliage,52
1233,synonyme,32
1234,impose,154
1235,seigneuries,17
1236,propre,422
1237,perdura,6
1238,faits,139
1239,baillis,5
1240,perdissent,1
1241,essentiel,145
1242,attributions,15
1243,profit,199
1244,intendants,3
1245,grosso,10
1246,modo,6
1247,passais,1
1248,domfront,2
1249,relevait,14
1250,mans,56
1251,exemption,12
1252,samson,8
1253,estuaire,36
1254,dol,5
1255,historiens,127
1256,plu,4
1257,vanter,1
1258,viking,36
1259,renvoi,17
1260,peuple,313
1261,scandinave,50
1262,servi,83
1263,support,77
1264,normande,37
1265,quelque,233
1266,peu,1520
1267,affaiblie,9
1268,fut,7
1269,offre,244
1270,image,306
1271,empreinte,27
1272,somme,133
1273,pratiques,96
1274,survivance,8
1275,origines,112
1276,judith,8
1277,rite,39
1278,papia,2
1279,mode,218
1280,danoise,15
1281,more,15
1282,danico,3
1283,flotte,150
1284,pillards,7
1285,filiation,21
1286,noble,57
1287,rendue,38
1288,adjonction,8
1289,filz,2
1290,fitz,7
1291,fils,1166
1292,pratique,312
1293,germanique,146
1294,ajouter,66
1295,son,13
1296,nommer,54
1297,institutionnel,8
1298,nouveaux,375
1299,moulent,1
1300,organisation,390
1301,carolingienne,17
1302,autoproclament,1
1303,parfois,723
1304,marquis,62
1305,autant,328
1306,titulatures,2
1307,romaine,263
1308,franque,19
1309,carolingiens,14
1310,droit,714
1311,battre,65
1312,monnaie,79
1313,seulement,632
1314,ullac,2
1315,bannissement,6
1316,hamfara,2
1317,assauts,19
1318,main,278
1319,alliances,33
1320,matrimoniales,1
1321,renforcent,18
1322,coupure,13
1323,filles,187
1324,danois,56
1325,prendre,433
1326,celles,462
1327,quelle,73
1328,meilleure,186
1329,preuve,122
1330,acculturation,3
1331,perte,148
1332,langue,823
1333,norrois,26
1334,latin,308
1335,actes,109
1336,parler,173
1337,local,135
1338,emportent,12
1339,seul,649
1340,vocabulaire,39
1341,marin,97
1342,maritime,120
1343,emprunte,17
1344,beaucoup,706
1345,vue,392
1346,impression,75
1347,presque,355
1348,rien,236
1349,cherchent,44
1350,vain,49
1351,traces,98
1352,types,253
1353,produits,439
1354,paroisses,52
1355,restent,160
1356,village,411
1357,bref,29
1358,neustrie,12
1359,comment,89
1360,expliquer,75
1361,francisation,13
1362,incluse,24
1363,sait,131
1364,essence,69
1365,culture,473
1366,civilisation,85
1367,occidentale,145
1368,nombre,1267
1369,immigrants,20
1370,scandinaves,49
1371,former,157
1372,explication,54
1373,estimation,33
1374,normandes,15
1375,caux,7
1376,roumois,1
1377,affichent,9
1378,toponymes,31
1379,termine,587
1380,beuf,2
1381,bot,2
1382,issu,147
1383,mot,408
1384,buth,1
1385,bec,34
1386,bekkr,1
1387,ruisseau,51
1388,dalle,9
1389,dalr,2
1390,londe,2
1391,lundr,2
1392,tot,5
1393,topt,1
1394,habitation,52
1395,noms,211
1396,abondance,32
1397,croire,59
1398,colonisation,63
1399,dense,44
1400,afflux,14
1401,colons,74
1402,nordique,23
1403,fermiers,19
1404,originaires,42
1405,britanniques,204
1406,avaient,63
1407,pouvaient,120
1408,saxons,31
1409,voire,233
1410,celtes,23
1411,part,995
1412,autre,1569
1413,absence,213
1414,influences,47
1415,doute,214
1416,religieuse,161
1417,invasions,37
1418,fuir,36
1419,moines,151
1420,font,627
1421,appel,222
1422,relever,27
1423,abbayes,32
1424,italien,255
1425,volpiano,1
1426,dijon,42
1427,restaurer,29
1428,quant,330
1429,aristocratie,52
1430,apport,43
1431,sauf,172
1432,exception,203
1433,tosny,2
1434,giroie,1
1435,aristocrates,12
1436,descendent,12
1437,compagnons,57
1438,subalterne,6
1439,noblesse,123
1440,particularisme,3
1441,semble,380
1442,rapidement,431
1443,regards,7
1444,tournent,20
1445,historien,136
1446,neveux,20
1447,publique,259
1448,emporte,47
1449,conteste,18
1450,met,406
1451,structure,232
1452,efficace,70
1453,institutions,153
1454,solides,23
1455,bonne,234
1456,conclusion,34
1457,appuis,15
1458,parviennent,69
1459,conserver,99
