,index,0
965,parc,254
966,haras,3
967,reproduction,62
968,conservation,103
969,existant,37
970,implantation,66
971,poursuit,154
972,subsiste,40
973,vieille,98
974,horloge,49
975,ruines,60
976,magnifique,29
977,art,513
978,anciennes,239
979,prisons,14
980,ornementations,1
981,reliefs,47
982,blason,47
983,aigle,69
984,renaissance,181
985,oscillant,6
986,style,381
987,ornements,12
988,issus,128
989,urbanisme,41
990,provenant,100
991,avionneur,3
992,fleurs,126
993,concours,167
994,villages,164
995,fleuris,23
996,prix,1206
997,arbre,103
998,avoir,1538
999,espaces,81
1000,verts,119
1001,pesticides,22
1002,jouir,13
1003,patrimoine,212
1004,toute,904
1005,sites,154
1006,naturels,96
1007,multitude,32
1008,atypiques,9
1009,iut,8
1010,initiative,111
1011,rendre,262
1012,disponible,88
1013,internet,136
1014,inaugurait,4
1015,square,38
1016,moulin,75
1017,forges,12
1018,club,534
1019,basket,159
1020,ligue,308
1021,victor,92
1022,adolphe,78
1023,malte,16
1024,brun,39
1025,rapportait,7
1026,tome,37
1027,armes,286
1028,officiellement,249
1029,reconnues,25
1030,sceau,32
1031,archives,93
1032,croisettes,1
1033,lis,4
1034,lambel,3
1035,pendants,2
1036,anjou,73
1037,marketing,27
1038,territorial,60
1039,nihilo,3
1040,culinaire,14
1041,locale,198
1042,vainqueur,166
1043,napoline,1
1044,chocolatier,2
1045,gelencser,1
1046,chocolat,8
1047,noir,234
1048,croustillant,2
1049,caramel,2
1050,tendre,19
1051,terme,725
1052,principaux,350
1053,gouverneurs,35
1054,provinces,197
1055,classe,388
1056,japon,370
1057,ordres,115
1058,shogun,4
1059,muromachi,3
1060,edo,18
1061,prestigieux,46
1062,shugo,3
1063,province,343
1064,sengoku,4
1065,daimyos,7
1066,aura,170
1067,cependant,1118
1068,utilisait,37
1069,volontiers,21
1070,kokushu,1
1071,gouvernant,6
1072,important,525
1073,incessantes,10
1074,but,435
1075,agrandir,20
1076,leurs,1560
1077,territoires,171
1078,faveur,185
1079,troubles,98
1080,agitaient,2
1081,terres,370
1082,prirent,25
